Worker pool: 18 processes (CPU inference per worker)
Device: cpu
Total timesteps: 100,000,000
Rollout steps: 16398
Number of updates: 6098
Model parameters: 2,440,409
------------------------------------------------------------
Update 1/6098 | Steps: 16,398 | SPS: 38 | LWR: 45% | Pool:594 MCTS:51 | Games: 628 | W: 51% | B: 49% | D: 0% | Len: 52 | PL: -0.0582 | VL: 0.3552 | Ent: 1.2607 | Time: 00:07:12
Update 2/6098 | Steps: 32,796 | SPS: 38 | LWR: 50% | Pool:560 MCTS:75 | Games: 617 | W: 48% | B: 52% | D: 0% | Len: 52 | PL: -0.0845 | VL: 0.1563 | Ent: 1.2367 | Time: 00:14:13
Update 3/6098 | Steps: 49,194 | SPS: 39 | LWR: 51% | Pool:587 MCTS:57 | Games: 627 | W: 51% | B: 49% | D: 0% | Len: 51 | PL: -0.0820 | VL: 0.1252 | Ent: 1.1981 | Time: 00:21:10
Update 4/6098 | Steps: 65,592 | SPS: 39 | LWR: 55% | Pool:570 MCTS:72 | Games: 624 | W: 46% | B: 54% | D: 0% | Len: 52 | PL: -0.0797 | VL: 0.1095 | Ent: 1.1718 | Time: 00:28:11
Update 5/6098 | Steps: 81,990 | SPS: 39 | LWR: 57% | Pool:586 MCTS:61 | Games: 632 | W: 48% | B: 52% | D: 0% | Len: 51 | PL: -0.0759 | VL: 0.1033 | Ent: 1.1509 | Time: 00:35:28
Update 6/6098 | Steps: 98,388 | SPS: 38 | LWR: 53% | Pool:566 MCTS:66 | Games: 615 | W: 51% | B: 49% | D: 0% | Len: 52 | PL: -0.0751 | VL: 0.1084 | Ent: 1.1467 | Time: 00:42:50
Update 7/6098 | Steps: 114,786 | SPS: 38 | LWR: 59% | Pool:567 MCTS:58 | Games: 608 | W: 46% | B: 54% | D: 0% | Len: 53 | PL: -0.0747 | VL: 0.1024 | Ent: 1.1301 | Time: 00:50:10
Update 8/6098 | Steps: 131,184 | SPS: 38 | LWR: 53% | Pool:572 MCTS:65 | Games: 620 | W: 46% | B: 54% | D: 0% | Len: 52 | PL: -0.0745 | VL: 0.1154 | Ent: 1.1341 | Time: 00:57:31
Update 9/6098 | Steps: 147,582 | SPS: 38 | LWR: 60% | Pool:564 MCTS:76 | Games: 623 | W: 48% | B: 52% | D: 0% | Len: 52 | PL: -0.0689 | VL: 0.1097 | Ent: 1.0968 | Time: 01:04:59
Update 10/6098 | Steps: 163,980 | SPS: 38 | LWR: 59% | Pool:563 MCTS:73 | Games: 620 | W: 49% | B: 51% | D: 0% | Len: 52 | PL: -0.0726 | VL: 0.1044 | Ent: 1.0878 | Time: 01:12:23
Update 11/6098 | Steps: 180,378 | SPS: 38 | LWR: 54% | Pool:556 MCTS:67 | Games: 605 | W: 46% | B: 54% | D: 0% | Len: 53 | PL: -0.0741 | VL: 0.1100 | Ent: 1.0904 | Time: 01:19:54
